ATL,3/6/16,1042,1041,1,0,1,0,0,5006,2598,28.75,0,0,745,13.1,0,0,1663,24.15,5006,66
ATL,3/7/16,1100,1101,0,0,0,0,0,4475,2082,25.48,57,2,454,12,0,0,1882,23.52,4475,63
ATL,3/8/16,1066,1074,5,1,4,0,0,8243,4896,25.3,206,1.61,1233,22.74,0,0,1908,30.35,8243,80
ATL,3/9/16,1068,1068,2,1,1,0,0,9127,3494,23.38,79,2.66,1407,31.16,0,0,4147,54.81,9127,112
ATL,3/10/16,1092,1091,3,3,0,0,0,9516,4408,37.01,0,0,1173,25.97,0,0,3935,65.02,9516,128
ATL,3/11/16,1091,1088,1,1,0,0,0,8389,4722,34.48,406,4.52,1091,38.45,79,2,2091,32.54,8389,112
ATL,3/12/16,911,919,0,0,0,0,0,5184,3329,27.1,0,0,604,17.51,0,0,1251,17.38,5184,62
ATL,3/13/16,1047,1048,2,0,2,0,0,5375,2981,42.26,327,1.22,609,12.77,0,0,1458,31.74,5375,88
ATL,3/14/16,1089,1086,2,2,0,0,0,5798,1840,31.45,20,0.71,976,23.72,0,0,2962,48.12,5798,104
ATL,3/15/16,1069,1069,2,2,0,0,0,4406,2554,26.23,125,1.41,747,10.85,0,0,980,22.51,4406,61
ATL,3/16/16,1079,1078,1,1,0,0,0,5523,2131,24.88,21,0.78,774,19.25,0,0,2597,45.09,5523,90
ATL,3/17/16,1103,1103,0,0,0,0,0,6923,2599,39.98,142,2.7,1334,28.18,6,0.3,2842,60.84,6923,132
ATL,3/18/16,1104,1105,0,0,0,0,0,6664,3008,31.85,97,1.78,724,20.38,0,0,2835,49.99,6664,104
ATL,3/19/16,912,918,1,0,0,1,0,10204,3992,40.98,63,0.67,1444,24.58,0,0,4705,79.77,10204,146
ATL,3/20/16,1054,1053,0,0,0,0,0,5088,1879,29.81,4,0.04,965,24.15,0,0,2240,36.01,5088,90
ATL,3/21/16,1104,1102,0,0,0,0,0,5496,2965,32.42,91,1.48,529,19.61,0,0,1911,41.48,5496,95
ATL,3/22/16,1075,1080,0,0,0,0,0,3921,2020,22.46,15,0.21,791,13.28,0,0,1095,19.05,3921,55
ATL,3/23/16,1056,1058,17,0,17,0,0,5721,4013,32.2,0,0,437,15.85,0,0,1271,20.95,5721,69
ATL,3/24/16,1084,1022,12,2,10,0,0,17409,4373,44.68,1040,10.86,6497,112.58,0,0,5499,65.87,17409,233.99
ATL,3/25/16,1098,1096,1,1,0,0,0,13230,6290,64.86,287,4.51,1725,35.02,0,0,4928,91.61,13230,196
ATL,3/26/16,917,914,2,0,2,0,0,9456,2526,34.88,631,3.84,2241,56.36,0,0,4058,71.92,9456,167
ATL,3/27/16,1049,1052,2,2,0,0,0,9408,4206,48.49,75,1.86,1848,58.98,0,0,3279,55.67,9408,165
ATL,3/28/16,1101,1102,0,0,0,0,0,6461,3562,43.08,42,1.42,619,17.92,0,0,2238,38.58,6461,101
ATL,3/29/16,1080,1084,0,0,0,0,0,7104,2446,21.88,379,3.4,999,16.05,0,0,3280,45.68,7104,87
ATL,3/30/16,1073,1075,0,0,0,0,0,6041,2478,20.22,136,1.86,1158,20.93,0,0,2269,26.99,6041,70
ATL,3/31/16,1092,1091,1,1,0,0,0,9667,2947,49.05,182,3.38,1595,48.48,0,0,4943,73.08,9667,17
ATL,4/1/16,1091,1090,1,0,1,0,0,25650,7808,68.42,597,6.41,7258,152.57,5,0.14,9982,169.46,25650,397
ATL,4/2/16,878,885,10,5,5,0,0,13067,5518,44.11,108,1.83,1344,32.91,0,0,6097,79.15,13067,158
